INFO:root:[AutoTrain] ep=0, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=11, rew=-1, eps=0.995
INFO:root:[AutoTrain] ep=1, question='Name the painter of the Lady with an Ermine.', correct=1, chosen=5, rew=-1, eps=0.990
INFO:root:[AutoTrain] ep=2, question='Where is 'Lady with an Ermine' displayed?', correct=8, chosen=5, rew=-1, eps=0.985
INFO:root:[AutoTrain] ep=3, question='Lady with Ermine location?', correct=8, chosen=3, rew=-1, eps=0.980
INFO:root:[AutoTrain] ep=4, question='University in Hradec Kralove?', correct=2, chosen=10, rew=-1, eps=0.975
INFO:root:[AutoTrain] ep=5, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=4, rew=-1, eps=0.970
INFO:root:[AutoTrain] ep=6, question='How many days does February contain in a leap year?', correct=3, chosen=5, rew=-1, eps=0.966
INFO:root:[AutoTrain] ep=7, question='What is Poland's capital?', correct=0, chosen=9, rew=-1, eps=0.961
INFO:root:[AutoTrain] ep=8, question='Berlin is capital of which country?', correct=12, chosen=10, rew=-1, eps=0.956
INFO:root:[AutoTrain] ep=9, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.951
INFO:root:[AutoTrain] ep=10, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=5, rew=-1, eps=0.946
INFO:root:[AutoTrain] ep=11, question='Capital of Poland is? ', correct=0, chosen=6, rew=-1, eps=0.942
INFO:root:[AutoTrain] ep=12, question='Language spoken in Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.937
INFO:root:[AutoTrain] ep=13, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=1, rew=-1, eps=0.932
INFO:root:[AutoTrain] ep=14, question='How many days does February have in a leap year?', correct=3, chosen=11, rew=-1, eps=0.928
INFO:root:[AutoTrain] ep=15, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=0, rew=-1, eps=0.923
INFO:root:[AutoTrain] ep=16, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=5, rew=-1, eps=0.918
INFO:root:[AutoTrain] ep=17, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=2, rew=-1, eps=0.914
INFO:root:[AutoTrain] ep=18, question='How many planets will be discovered in the future?', correct=11, chosen=8, rew=-1, eps=0.909
INFO:root:[AutoTrain] ep=19, question='Capital of Poland is? ', correct=0, chosen=7, rew=-1, eps=0.905
INFO:root:[AutoTrain] ep=20, question='What is the language used in the Czech Republic?', correct=10, chosen=2, rew=-1, eps=0.900
INFO:root:[AutoTrain] ep=21, question='What is the capital of Czech Republic?', correct=5, chosen=11, rew=-1, eps=0.896
INFO:root:[AutoTrain] ep=22, question='What language do people speak in Czechia?', correct=10, chosen=11, rew=-1, eps=0.891
INFO:root:[AutoTrain] ep=23, question='What is the capital of Czech Republic?', correct=5, chosen=9, rew=-1, eps=0.887
INFO:root:[AutoTrain] ep=24, question='Who will be the next president of Poland?', correct=11, chosen=2, rew=-1, eps=0.882
INFO:root:[AutoTrain] ep=25, question='Which language do people speak in Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.878
INFO:root:[AutoTrain] ep=26, question='What is capital of Germany?', correct=6, chosen=0, rew=-1, eps=0.873
INFO:root:[AutoTrain] ep=27, question='What is the capital of Poland?', correct=0, chosen=4, rew=-1, eps=0.869
INFO:root:[AutoTrain] ep=28, question='Language spoken in Czech Republic?', correct=10, chosen=9, rew=-1, eps=0.865
INFO:root:[AutoTrain] ep=29, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=12, rew=-1, eps=0.860
INFO:root:[AutoTrain] ep=30, question='Capital of Poland is? ', correct=0, chosen=6, rew=-1, eps=0.856
INFO:root:[AutoTrain] ep=31, question='Czech Republic official language?', correct=10, chosen=5, rew=-1, eps=0.852
INFO:root:[AutoTrain] ep=32, question='When is New Year’s Day celebrated?', correct=7, chosen=3, rew=-1, eps=0.848
INFO:root:[AutoTrain] ep=33, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=4, rew=-1, eps=0.843
INFO:root:[AutoTrain] ep=34, question='Painter of the Lady with an Ermine?', correct=1, chosen=4, rew=-1, eps=0.839
INFO:root:[AutoTrain] ep=35, question='What is the name of the painting , which features a lady with an ermine?', correct=9, chosen=5, rew=-1, eps=0.835
INFO:root:[AutoTrain] ep=36, question='What is the name of university in Hradec Kralove?', correct=2, chosen=1, rew=-1, eps=0.831
INFO:root:[AutoTrain] ep=37, question='Which language do people speak in Czech Republic?', correct=10, chosen=9, rew=-1, eps=0.827
INFO:root:[AutoTrain] ep=38, question='What will the stock market do next week?', correct=11, chosen=9, rew=-1, eps=0.822
INFO:root:[AutoTrain] ep=39, question='What is the capital of the Czech Republic?', correct=5, chosen=7, rew=-1, eps=0.818
INFO:root:[AutoTrain] ep=40, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=12, rew=-1, eps=0.814
INFO:root:[AutoTrain] ep=41, question='How many days does February have in a leap year?', correct=3, chosen=5, rew=-1, eps=0.810
INFO:root:[AutoTrain] ep=42, question='How does a leap year work? ', correct=4, chosen=0, rew=-1, eps=0.806
